code,age_band,level,category,language,question_text,answer_text,accepted_answers,active
3-5-L01-Q01-a3,3,1,colours,en,What colour is a banana?,yellow,yellow colour,true
3-5-L01-Q02-a3,3,1,animals,en,What sound does a cow make?,moo,moo moo | mooo,true
3-5-L01-Q03-a3,3,1,colours,en,What colour is grass?,green,green colour,true
3-5-L01-Q04-a3,3,1,animals,en,What sound does a dog make?,bow bow,woof | woof woof | bhow bhow | bark,true
3-5-L01-Q05-a3,3,1,body,en,How many eyes do you have?,two,2 | two eyes,true
3-5-L01-Q06-a3,3,1,colours,en,What colour is milk?,white,white colour,true
3-5-L01-Q07-a3,3,1,animals,en,What sound does a cat make?,meow,miaow | meow meow,true
3-5-L01-Q08-a3,3,1,everyday,en,What do you wear on your feet?,shoes,shoe | slippers | chappals | socks,true
3-5-L01-Q09-a3,3,1,colours,en,What colour is a crow?,black,black colour,true
3-5-L01-Q10-a3,3,1,body,en,What do we use to see?,eyes,our eyes | my eyes,true
3-5-L02-Q01-a3,3,2,body,en,How many hands do you have?,two,2 | two hands,true
3-5-L02-Q02-a3,3,2,everyday,en,What do we drink when we are thirsty?,water,juice | milk,true
3-5-L02-Q03-a3,3,2,numbers,en,How many wheels does a cycle have?,two,2 | two wheels,true
3-5-L02-Q04-a3,3,2,everyday,en,What do you use to brush your teeth?,toothbrush,brush | a toothbrush,true
3-5-L02-Q05-a3,3,2,animals,en,Which animal says meow?,cat,a cat | kitty | kitten,true
3-5-L02-Q06-a3,3,2,colours,en,What colour is a tomato?,red,red colour,true
3-5-L02-Q07-a3,3,2,numbers,en,How many fingers are on one hand?,five,5 | five fingers,true
3-5-L02-Q08-a3,3,2,everyday,en,Where do we sleep at night?,bed,on the bed | in bed | home,true
3-5-L02-Q09-a3,3,2,everyday,en,What do we wear on our head?,cap,hat | helmet | a cap,true
3-5-L02-Q10-a3,3,2,food,en,Which fruit is orange in colour?,orange,an orange | oranges,true
3-5-L03-Q01-a3,3,3,opposites,en,Is an elephant big or small?,big,very big | big one,true
3-5-L03-Q02-a3,3,3,animals,en,Which animal has a long trunk?,elephant,an elephant,true
3-5-L03-Q03-a3,3,3,family,en,What do we call our mother's mother?,grandmother,nani | granny | grandma | aaji,true
3-5-L03-Q04-a3,3,3,opposites,en,Is ice hot or cold?,cold,very cold,true
3-5-L03-Q05-a3,3,3,animals,en,Which animal gives us milk?,cow,a cow | buffalo | goat,true
3-5-L03-Q06-a3,3,3,animals,en,What do birds have that helps them fly?,wings,feathers | two wings,true
3-5-L03-Q07-a3,3,3,opposites,en,Is the sky up or down?,up,above | up above,true
3-5-L03-Q08-a3,3,3,food,en,Which fruit do monkeys love to eat?,banana,bananas | a banana,true
3-5-L03-Q09-a3,3,3,animals,en,What do we call a baby dog?,puppy,a puppy | puppies,true
3-5-L03-Q10-a3,3,3,animals,en,Do fish live in water or in trees?,water,in water | in the water,true
3-5-L01-Q01-a4,4,1,numbers,en,How many legs does a chair usually have?,four,4 | four legs,true
3-5-L01-Q02-a4,4,1,shapes,en,What shape is a ball?,round,circle | sphere | round shape,true
3-5-L01-Q03-a4,4,1,opposites,en,What is the opposite of hot?,cold,cool | chilly,true
3-5-L01-Q04-a4,4,1,time,en,How many days are there in one week?,seven,7 | seven days,true
3-5-L01-Q05-a4,4,1,shapes,en,Which shape has three sides?,triangle,a triangle,true
3-5-L01-Q06-a4,4,1,opposites,en,What is the opposite of day?,night,night time,true
3-5-L01-Q07-a4,4,1,numbers,en,If you have two toys and get one more how many do you have?,three,3 | three toys,true
3-5-L01-Q08-a4,4,1,colours,en,What colour is the sky on a clear day?,blue,blue colour | light blue,true
3-5-L01-Q09-a4,4,1,opposites,en,What is the opposite of big?,small,little | tiny,true
3-5-L01-Q10-a4,4,1,animals,en,How many legs does a spider have?,eight,8 | eight legs,true
3-5-L02-Q01-a4,4,2,animals,en,Where does a bird live?,nest,in a nest | on a tree | tree,true
3-5-L02-Q02-a4,4,2,animals,en,Which animal says quack?,duck,a duck | ducks,true
3-5-L02-Q03-a4,4,2,weather,en,What falls from the sky when it rains?,water,rain | raindrops | rain water,true
3-5-L02-Q04-a4,4,2,animals,en,Where do bees live?,hive,beehive | in a hive | honeycomb,true
3-5-L02-Q05-a4,4,2,animals,en,Which animal is called the king of the jungle?,lion,the lion | a lion,true
3-5-L02-Q06-a4,4,2,weather,en,What do we use to stay dry when it rains?,umbrella,an umbrella | raincoat,true
3-5-L02-Q07-a4,4,2,animals,en,Which animal has black and white stripes?,zebra,a zebra,true
3-5-L02-Q08-a4,4,2,animals,en,Where do fish live?,water,in water | sea | river | pond,true
3-5-L02-Q09-a4,4,2,science,en,What do we call frozen water?,ice,ice cubes,true
3-5-L02-Q10-a4,4,2,animals,en,Which bird can talk like us?,parrot,a parrot | mynah,true
3-5-L03-Q01-a4,4,3,body,en,Which part of your body do you use to smell?,nose,my nose | the nose,true
3-5-L03-Q02-a4,4,3,science,en,What do plants need to grow?,water and sunlight,water | sunlight | sun | soil,true
3-5-L03-Q03-a4,4,3,body,en,Which part of your body helps you hear?,ears,my ears | the ears,true
3-5-L03-Q04-a4,4,3,science,en,What comes out in the sky at night?,moon,the moon | stars | moon and stars,true
3-5-L03-Q05-a4,4,3,india,en,Which season is very hot in India?,summer,summer season | garmi,true
3-5-L03-Q06-a4,4,3,everyday,en,What do we call the food we eat in the morning?,breakfast,morning food | nashta,true
3-5-L03-Q07-a4,4,3,science,en,Which part of a plant is under the ground?,roots,root | the roots,true
3-5-L03-Q08-a4,4,3,everyday,en,What do you use to cut paper?,scissors,a scissor | scissor,true
3-5-L03-Q09-a4,4,3,animals,en,Which animal lays eggs and says cluck?,hen,chicken | a hen | murgi,true
3-5-L03-Q10-a4,4,3,body,en,What do we call the water that falls from our eyes?,tears,tear | crying,true
3-5-L01-Q01-a5,5,1,numbers,en,What is two plus three?,five,5,true
3-5-L01-Q02-a5,5,1,letters,en,Which letter does the word apple start with?,a,letter a | the letter a,true
3-5-L01-Q03-a5,5,1,time,en,How many months are there in one year?,twelve,12 | twelve months,true
3-5-L01-Q04-a5,5,1,numbers,en,What is ten minus four?,six,6,true
3-5-L01-Q05-a5,5,1,numbers,en,Which number comes just after nineteen?,twenty,20,true
3-5-L01-Q06-a5,5,1,letters,en,Which letter does the word ball start with?,b,letter b | the letter b,true
3-5-L01-Q07-a5,5,1,shapes,en,How many sides does a square have?,four,4 | four sides,true
3-5-L01-Q08-a5,5,1,numbers,en,What is five plus five?,ten,10,true
3-5-L01-Q09-a5,5,1,numbers,en,Which is bigger seven or nine?,nine,9,true
3-5-L01-Q10-a5,5,1,numbers,en,How many zeros are there in one hundred?,two,2 | two zeros,true
3-5-L02-Q01-a5,5,2,india,en,What is the capital of India?,new delhi,delhi,true
3-5-L02-Q02-a5,5,2,animals,en,Which is the biggest animal on land?,elephant,the elephant | african elephant,true
3-5-L02-Q03-a5,5,2,science,en,What do we call a baby frog?,tadpole,a tadpole | tadpoles,true
3-5-L02-Q04-a5,5,2,science,en,Which planet do we live on?,earth,the earth | planet earth,true
3-5-L02-Q05-a5,5,2,science,en,What colour are the leaves of most plants?,green,green colour,true
3-5-L02-Q06-a5,5,2,india,en,Which festival is called the festival of lights?,diwali,deepavali | divali,true
3-5-L02-Q07-a5,5,2,science,en,What do caterpillars turn into?,butterfly,a butterfly | butterflies,true
3-5-L02-Q08-a5,5,2,animals,en,Which is the fastest animal on land?,cheetah,the cheetah | a cheetah,true
3-5-L02-Q09-a5,5,2,india,en,What is the national bird of India?,peacock,the peacock | mor,true
3-5-L02-Q10-a5,5,2,science,en,Which gas do we breathe in to stay alive?,oxygen,oxygen gas,true
3-5-L03-Q01-a5,5,3,time,en,How many hours are there in one day?,twenty four,24 | twenty four hours,true
3-5-L03-Q02-a5,5,3,time,en,If today is Monday which day comes tomorrow?,tuesday,tues day,true
3-5-L03-Q03-a5,5,3,measurement,en,What do we use to find out how heavy something is?,weighing scale,scale | balance | weighing machine | weight machine,true
3-5-L03-Q04-a5,5,3,reasoning,en,Which is heavier one kilogram of stones or one kilogram of cotton?,they are the same,same | equal | both are same | both same,true
3-5-L03-Q05-a5,5,3,time,en,How many minutes are there in one hour?,sixty,60 | sixty minutes,true
3-5-L03-Q06-a5,5,3,reasoning,en,If you cut an apple into two equal parts what is each part called?,half,a half | one half,true
3-5-L03-Q07-a5,5,3,everyday,en,What do we use to know the time?,clock,a clock | watch | wall clock,true
3-5-L03-Q08-a5,5,3,time,en,Which comes first in the day morning or evening?,morning,the morning,true
3-5-L03-Q09-a5,5,3,reasoning,en,How many wheels do two cycles have together?,four,4 | four wheels,true
3-5-L03-Q10-a5,5,3,reasoning,en,If it is raining outside what should you carry with you?,umbrella,an umbrella | raincoat,true
6-8-L01-Q01-a6,6,1,animals,en,How many legs does a spider have?,eight,8 | eight legs | 8 legs,true
6-8-L01-Q02-a6,6,1,colours,en,What colour do you get when you mix red and yellow?,orange,,true
6-8-L01-Q03-a6,6,1,space,en,Which planet do we live on?,Earth,the Earth | planet Earth,true
6-8-L01-Q04-a6,6,1,body,en,Which part of your body do you use to smell?,your nose,nose | my nose,true
6-8-L01-Q05-a6,6,1,nature,en,What do bees make that we can eat?,honey,,true
6-8-L01-Q06-a6,6,1,numbers,en,What is five plus seven?,twelve,12,true
6-8-L01-Q07-a6,6,1,weather,en,What do we call water when it freezes and turns hard?,ice,frozen water,true
6-8-L01-Q08-a6,6,1,animals,en,What do we call a baby dog?,a puppy,puppy | puppies,true
6-8-L01-Q09-a6,6,1,time,en,How many days are there in one week?,seven,7 | seven days,true
6-8-L01-Q10-a6,6,1,science,en,What do plants need from the sun so they can grow?,light,sunlight | sun light | energy | sunshine | heat,true
6-8-L02-Q01-a6,6,2,space,en,Which planet is closest to the sun?,Mercury,,true
6-8-L02-Q02-a6,6,2,numbers,en,What is nine times three?,twenty-seven,27 | twenty seven,true
6-8-L02-Q03-a6,6,2,animals,en,What do we call an animal that eats only plants?,a herbivore,herbivore | plant eater | a plant eater | vegetarian,true
6-8-L02-Q04-a6,6,2,geography,en,What is the largest ocean on Earth?,the Pacific Ocean,pacific | pacific ocean,true
6-8-L02-Q05-a6,6,2,science,en,Which gas do we need to breathe in to stay alive?,oxygen,,true
6-8-L02-Q06-a6,6,2,body,en,Which organ pumps blood around your body?,the heart,heart,true
6-8-L02-Q07-a6,6,2,shapes,en,How many sides does a hexagon have?,six,6 | six sides,true
6-8-L02-Q08-a6,6,2,geography,en,How many continents are there on Earth?,seven,7 | seven continents,true
6-8-L02-Q09-a6,6,2,animals,en,What do caterpillars turn into when they grow up?,butterflies,a butterfly | butterfly | moth | a moth,true
6-8-L02-Q10-a6,6,2,numbers,en,What is half of fifty?,twenty-five,25 | twenty five,true
6-8-L03-Q01-a6,6,3,space,en,What is the name of the galaxy we live in?,the Milky Way,milky way | the milky way galaxy,true
6-8-L03-Q02-a6,6,3,numbers,en,What is twelve times two?,twenty-four,24 | twenty four,true
6-8-L03-Q03-a6,6,3,animals,en,What is the largest animal in the world?,the blue whale,blue whale | whale | a blue whale,true
6-8-L03-Q04-a6,6,3,geography,en,What is the capital city of India?,New Delhi,delhi | new delhi,true
6-8-L03-Q05-a6,6,3,science,en,Which force pulls everything down towards the ground?,gravity,the force of gravity,true
6-8-L03-Q06-a6,6,3,body,en,Which part of your body do you use to think?,the brain,brain | my brain | your brain,true
6-8-L03-Q07-a6,6,3,shapes,en,How many sides does an octagon have?,eight,8 | eight sides,true
6-8-L03-Q08-a6,6,3,science,en,What is the hardest natural material on Earth?,diamond,a diamond | diamonds,true
6-8-L03-Q09-a6,6,3,animals,en,What do we call an animal that eats both plants and meat?,an omnivore,omnivore | omnivores,true
6-8-L03-Q10-a6,6,3,numbers,en,What is one hundred minus thirty-five?,sixty-five,65 | sixty five,true
6-8-L01-Q01-a7,7,1,animals,en,How many legs does a spider have?,eight,8 | eight legs | 8 legs,true
6-8-L01-Q02-a7,7,1,colours,en,What colour do you get when you mix red and yellow?,orange,,true
6-8-L01-Q03-a7,7,1,space,en,Which planet do we live on?,Earth,the Earth | planet Earth,true
6-8-L01-Q04-a7,7,1,body,en,Which part of your body do you use to smell?,your nose,nose | my nose,true
6-8-L01-Q05-a7,7,1,nature,en,What do bees make that we can eat?,honey,,true
6-8-L01-Q06-a7,7,1,numbers,en,What is five plus seven?,twelve,12,true
6-8-L01-Q07-a7,7,1,weather,en,What do we call water when it freezes and turns hard?,ice,frozen water,true
6-8-L01-Q08-a7,7,1,animals,en,What do we call a baby dog?,a puppy,puppy | puppies,true
6-8-L01-Q09-a7,7,1,time,en,How many days are there in one week?,seven,7 | seven days,true
6-8-L01-Q10-a7,7,1,science,en,What do plants need from the sun so they can grow?,light,sunlight | sun light | energy | sunshine | heat,true
6-8-L02-Q01-a7,7,2,space,en,Which planet is closest to the sun?,Mercury,,true
6-8-L02-Q02-a7,7,2,numbers,en,What is nine times three?,twenty-seven,27 | twenty seven,true
6-8-L02-Q03-a7,7,2,animals,en,What do we call an animal that eats only plants?,a herbivore,herbivore | plant eater | a plant eater | vegetarian,true
6-8-L02-Q04-a7,7,2,geography,en,What is the largest ocean on Earth?,the Pacific Ocean,pacific | pacific ocean,true
6-8-L02-Q05-a7,7,2,science,en,Which gas do we need to breathe in to stay alive?,oxygen,,true
6-8-L02-Q06-a7,7,2,body,en,Which organ pumps blood around your body?,the heart,heart,true
6-8-L02-Q07-a7,7,2,shapes,en,How many sides does a hexagon have?,six,6 | six sides,true
6-8-L02-Q08-a7,7,2,geography,en,How many continents are there on Earth?,seven,7 | seven continents,true
6-8-L02-Q09-a7,7,2,animals,en,What do caterpillars turn into when they grow up?,butterflies,a butterfly | butterfly | moth | a moth,true
6-8-L02-Q10-a7,7,2,numbers,en,What is half of fifty?,twenty-five,25 | twenty five,true
6-8-L03-Q01-a7,7,3,space,en,What is the name of the galaxy we live in?,the Milky Way,milky way | the milky way galaxy,true
6-8-L03-Q02-a7,7,3,numbers,en,What is twelve times two?,twenty-four,24 | twenty four,true
6-8-L03-Q03-a7,7,3,animals,en,What is the largest animal in the world?,the blue whale,blue whale | whale | a blue whale,true
6-8-L03-Q04-a7,7,3,geography,en,What is the capital city of India?,New Delhi,delhi | new delhi,true
6-8-L03-Q05-a7,7,3,science,en,Which force pulls everything down towards the ground?,gravity,the force of gravity,true
6-8-L03-Q06-a7,7,3,body,en,Which part of your body do you use to think?,the brain,brain | my brain | your brain,true
6-8-L03-Q07-a7,7,3,shapes,en,How many sides does an octagon have?,eight,8 | eight sides,true
6-8-L03-Q08-a7,7,3,science,en,What is the hardest natural material on Earth?,diamond,a diamond | diamonds,true
6-8-L03-Q09-a7,7,3,animals,en,What do we call an animal that eats both plants and meat?,an omnivore,omnivore | omnivores,true
6-8-L03-Q10-a7,7,3,numbers,en,What is one hundred minus thirty-five?,sixty-five,65 | sixty five,true
6-8-L01-Q01-a8,8,1,animals,en,How many legs does a spider have?,eight,8 | eight legs | 8 legs,true
6-8-L01-Q02-a8,8,1,colours,en,What colour do you get when you mix red and yellow?,orange,,true
6-8-L01-Q03-a8,8,1,space,en,Which planet do we live on?,Earth,the Earth | planet Earth,true
6-8-L01-Q04-a8,8,1,body,en,Which part of your body do you use to smell?,your nose,nose | my nose,true
6-8-L01-Q05-a8,8,1,nature,en,What do bees make that we can eat?,honey,,true
6-8-L01-Q06-a8,8,1,numbers,en,What is five plus seven?,twelve,12,true
6-8-L01-Q07-a8,8,1,weather,en,What do we call water when it freezes and turns hard?,ice,frozen water,true
6-8-L01-Q08-a8,8,1,animals,en,What do we call a baby dog?,a puppy,puppy | puppies,true
6-8-L01-Q09-a8,8,1,time,en,How many days are there in one week?,seven,7 | seven days,true
6-8-L01-Q10-a8,8,1,science,en,What do plants need from the sun so they can grow?,light,sunlight | sun light | energy | sunshine | heat,true
6-8-L02-Q01-a8,8,2,space,en,Which planet is closest to the sun?,Mercury,,true
6-8-L02-Q02-a8,8,2,numbers,en,What is nine times three?,twenty-seven,27 | twenty seven,true
6-8-L02-Q03-a8,8,2,animals,en,What do we call an animal that eats only plants?,a herbivore,herbivore | plant eater | a plant eater | vegetarian,true
6-8-L02-Q04-a8,8,2,geography,en,What is the largest ocean on Earth?,the Pacific Ocean,pacific | pacific ocean,true
6-8-L02-Q05-a8,8,2,science,en,Which gas do we need to breathe in to stay alive?,oxygen,,true
6-8-L02-Q06-a8,8,2,body,en,Which organ pumps blood around your body?,the heart,heart,true
6-8-L02-Q07-a8,8,2,shapes,en,How many sides does a hexagon have?,six,6 | six sides,true
6-8-L02-Q08-a8,8,2,geography,en,How many continents are there on Earth?,seven,7 | seven continents,true
6-8-L02-Q09-a8,8,2,animals,en,What do caterpillars turn into when they grow up?,butterflies,a butterfly | butterfly | moth | a moth,true
6-8-L02-Q10-a8,8,2,numbers,en,What is half of fifty?,twenty-five,25 | twenty five,true
6-8-L03-Q01-a8,8,3,space,en,What is the name of the galaxy we live in?,the Milky Way,milky way | the milky way galaxy,true
6-8-L03-Q02-a8,8,3,numbers,en,What is twelve times two?,twenty-four,24 | twenty four,true
6-8-L03-Q03-a8,8,3,animals,en,What is the largest animal in the world?,the blue whale,blue whale | whale | a blue whale,true
6-8-L03-Q04-a8,8,3,geography,en,What is the capital city of India?,New Delhi,delhi | new delhi,true
6-8-L03-Q05-a8,8,3,science,en,Which force pulls everything down towards the ground?,gravity,the force of gravity,true
6-8-L03-Q06-a8,8,3,body,en,Which part of your body do you use to think?,the brain,brain | my brain | your brain,true
6-8-L03-Q07-a8,8,3,shapes,en,How many sides does an octagon have?,eight,8 | eight sides,true
6-8-L03-Q08-a8,8,3,science,en,What is the hardest natural material on Earth?,diamond,a diamond | diamonds,true
6-8-L03-Q09-a8,8,3,animals,en,What do we call an animal that eats both plants and meat?,an omnivore,omnivore | omnivores,true
6-8-L03-Q10-a8,8,3,numbers,en,What is one hundred minus thirty-five?,sixty-five,65 | sixty five,true
9+-L01-Q01-a9,9,1,science,en,Which gas do plants take in from the air to make their food?,carbon dioxide,co2 | c o two,true
9+-L01-Q02-a9,9,1,numbers,en,What is twelve times twelve?,one hundred and forty-four,144 | one hundred forty four,true
9+-L01-Q03-a9,9,1,geography,en,What is the capital of India?,New Delhi,delhi | new delhi,true
9+-L01-Q04-a9,9,1,science,en,Which force pulls objects towards the Earth?,gravity,,true
9+-L01-Q05-a9,9,1,words,en,What do we call a word that means the opposite of another word?,an antonym,antonym | opposite word,true
9+-L01-Q06-a9,9,1,space,en,How many planets are there in our solar system?,eight,8 | eight planets,true
9+-L01-Q07-a9,9,1,history,en,Who was the first person to walk on the moon?,Neil Armstrong,armstrong,true
9+-L01-Q08-a9,9,1,science,en,What is the hardest natural substance on Earth?,diamond,a diamond | diamonds,true
9+-L01-Q09-a9,9,1,numbers,en,Which prime number comes right after seven?,eleven,11,true
9+-L01-Q10-a9,9,1,science,en,What do we call the process plants use to make food from sunlight?,photosynthesis,,true
9+-L02-Q01-a9,9,2,science,en,What is the chemical symbol for water?,H2O,h two o | h 2 o,true
9+-L02-Q02-a9,9,2,geography,en,On which continent is the Sahara Desert?,Africa,,true
9+-L02-Q03-a9,9,2,numbers,en,What is fifteen percent of two hundred?,thirty,30,true
