code,age_band,level,category,language,question_text,answer_text,accepted_answers,active
6-8-L01-Q01,6-8,1,animals,en,How many legs does a spider have?,eight,8 | eight legs | 8 legs,
6-8-L01-Q02,6-8,1,colours,en,What colour do you get when you mix red and yellow?,orange,,
6-8-L01-Q03,6-8,1,space,en,Which planet do we live on?,Earth,the Earth | planet Earth,
6-8-L01-Q04,6-8,1,body,en,Which part of your body do you use to smell?,your nose,nose | my nose,
6-8-L01-Q05,6-8,1,nature,en,What do bees make that we can eat?,honey,,
6-8-L01-Q06,6-8,1,numbers,en,What is five plus seven?,twelve,12,
6-8-L01-Q07,6-8,1,weather,en,What do we call water when it freezes and turns hard?,ice,frozen water,
6-8-L01-Q08,6-8,1,animals,en,What do we call a baby dog?,a puppy,puppy | puppies,
6-8-L01-Q09,6-8,1,time,en,How many days are there in one week?,seven,7 | seven days,
6-8-L01-Q10,6-8,1,science,en,What do plants need from the sun so they can grow?,light,sunlight | sun light | energy | sunshine | heat,
6-8-L02-Q01,6-8,2,space,en,Which planet is closest to the sun?,Mercury,,
6-8-L02-Q02,6-8,2,numbers,en,What is nine times three?,twenty-seven,27 | twenty seven,
6-8-L02-Q03,6-8,2,animals,en,What do we call an animal that eats only plants?,a herbivore,herbivore | plant eater | a plant eater | vegetarian,
6-8-L02-Q04,6-8,2,geography,en,What is the largest ocean on Earth?,the Pacific Ocean,pacific | pacific ocean,
6-8-L02-Q05,6-8,2,science,en,Which gas do we need to breathe in to stay alive?,oxygen,,
6-8-L02-Q06,6-8,2,body,en,Which organ pumps blood around your body?,the heart,heart,
6-8-L02-Q07,6-8,2,shapes,en,How many sides does a hexagon have?,six,6 | six sides,
6-8-L02-Q08,6-8,2,geography,en,How many continents are there on Earth?,seven,7 | seven continents,
6-8-L02-Q09,6-8,2,animals,en,What do caterpillars turn into when they grow up?,butterflies,a butterfly | butterfly | moth | a moth,
6-8-L02-Q10,6-8,2,numbers,en,What is half of fifty?,twenty-five,25 | twenty five,
